"Málsnúmer";"Efni";"Ár";"Mánuður";"Ráðuneyti"
"FOR22010313";"Samþykki þingflokkanna v/framlagningar frumvarpa á Alþingi - 451. fundur / 152. löggjafarþing";"2022";"01";"Forsætisráðuneytið"
"FOR22010312";"Steering Committee for Human Rights 2022";"2022";"01";"Forsætisráðuneytið"
"FOR22010311";"Framsend erindi skv. 2. mgr. 7. gr. stjórnsýslulaga nr. 37/1993 og leiðbeiningarskylda 2. mgr. 14. gr. laga nr. 70/1996";"2022";"01";"Forsætisráðuneytið"
"FOR22010310";"Framsend erindi skv. 2. mgr. 7. gr. stjórnsýslulaga nr. 37/1993 og leiðbeiningarskylda 2. mgr. 14. gr. laga nr. 70/1996";"2022";"01";"Forsætisráðuneytið"
"FOR22010309";"Upplýsingabeiðni vegna samskipta forsætisráðherra og Íslenskrar erfðagreiningar vegna ákvörðunar Persónuverndar";"2022";"01";"Forsætisráðuneytið"
"FOR22010308";"Viðtalsbeiðni til ráðherra";"2022";"01";"Forsætisráðuneytið"
"FOR22010307";"Ásjármál";"2022";"01";"Forsætisráðuneytið"
"FOR22010306";"Mannauðsmál";"2022";"01";"Forsætisráðuneytið"
"FOR22010305";"Beiðni um ávarp á International Women's Day Event";"2022";"01";"Forsætisráðuneytið"
"FOR22010304";"Ásjármál";"2022";"01";"Forsætisráðuneytið"
"FOR22010303";"Aðgangsstýring í fundakerfi ríkisstjórnar";"2022";"01";"Forsætisráðuneytið"
"FOR22010302";"Fyrirspurn til ráðuneytis um minnisvarða";"2022";"01";"Forsætisráðuneytið"
"FOR22010301";"6. fundur ráðherranefndar um ríkisfjármál";"2022";"01";"Forsætisráðuneytið"
"FOR22010300";"14. fundur ráðherranefndar um samræmingu mála";"2022";"01";"Forsætisráðuneytið"
"FOR22010299";"Fyrirspurn til ráðuneytis um framkvæmdaáætlun hinsegin fólks";"2022";"01";"Forsætisráðuneytið"
"FOR22010298";"Fundir jafnréttisfulltrúa ráðuneyta";"2022";"01";"Forsætisráðuneytið"
"FOR22010297";"Fundur kvennanefndar Sameinuðu þjóðanna, CSW66 14. - 25. mars 2022";"2022";"01";"Forsætisráðuneytið"
"FOR22010296";"Viðtalsbeiðni til ráðherra";"2022";"01";"Forsætisráðuneytið"
"FOR22010295";"Boð á ráðstefnuna Women in Peace and Security";"2022";"01";"Forsætisráðuneytið"
"FOR22010294";"Viðtalsbeiðni til ráðherra vegna stöðu ferðaþjónustunnar";"2022";"01";"Forsætisráðuneytið"
"FOR22010293";"Mannauðsmál";"2022";"01";"Forsætisráðuneytið"
"FOR22010292";"Fyrirspurn varðandi opnun landamæra á Íslandi";"2022";"01";"Forsætisráðuneytið"
"FOR22010291";"Fyrirspurn til ráðuneytis vegna ljósmyndar af ráðherra";"2022";"01";"Forsætisráðuneytið"
"FOR22010290";"Framsend erindi skv. 2. mgr. 7. gr. stjórnsýslulaga nr. 37/1993 og leiðbeiningarskylda 2. mgr. 14. gr. laga nr. 70/1996";"2022";"01";"Forsætisráðuneytið"
"FOR22010289";"Framsend erindi skv. 2. mgr. 7. gr. stjórnsýslulaga nr. 37/1993 og leiðbeiningarskylda 2. mgr. 14. gr. laga nr. 70/1996";"2022";"01";"Forsætisráðuneytið"
"FOR22010288";"Viðtalsbeiðnir til ráðherra";"2022";"01";"Forsætisráðuneytið"
"FOR22010287";"Frumvarp til laga um sanngirnisbætur";"2022";"01";"Forsætisráðuneytið"
"FOR22010286";"Stefna um barnvænt Ísland - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010285";"13. fundur ráðherranefndar um samræmingu mála";"2022";"01";"Forsætisráðuneytið"
"FOR22010284";"Fyrirhuguð samhæfingarvinna vegna breyttrar verkaskiptingar í Stjórnarráðinu";"2022";"01";"Forsætisráðuneytið"
"FOR22010283";"Áskrift að Lögbirtingablaðinu";"2022";"01";"Forsætisráðuneytið"
"FOR22010282";"450. fundur ríkisráðs";"2022";"01";"Forsætisráðuneytið"
"FOR22010281";"Erindi vegna skiptingar stjórnarmálefna milli ráðuneyta í Stjórnarráði Íslands";"2022";"01";"Forsætisráðuneytið"
"FOR22010280";"Framsend erindi skv. 2. mgr. 7. gr. stjórnsýslulaga nr. 37/1993 og leiðbeiningarskylda 2. mgr. 14. gr. laga nr. 70/1996";"2022";"01";"Forsætisráðuneytið"
"FOR22010279";"Beiðni um umsögn frá Umhverfisstofnun";"2022";"01";"Forsætisráðuneytið"
"FOR22010278";"Hvanngil á Rangárvallaafrétti - gerð grunnsamkomulags og stofnun lóða";"2022";"01";"Forsætisráðuneytið"
"FOR22010277";"Viðtalsbeiðnir til ráðherra frá fjölmiðlum";"2022";"01";"Forsætisráðuneytið"
"FOR22010276";"Fyrirspurn til ráðuneytis varðandi upplýsingamál";"2022";"01";"Forsætisráðuneytið"
"FOR22010275";"Breytt tímamörk varðandi umsóknir Mannréttindadómstóls Evrópu";"2022";"01";"Forsætisráðuneytið"
"FOR22010274";"Úttekt Ríkisendurskoðunar varðandi styrkjamál o.fl.";"2022";"01";"Forsætisráðuneytið"
"FOR22010273";"Mannauðsmál";"2022";"01";"Forsætisráðuneytið"
"FOR22010272";"Fundur stjórnskipunar- og eftirlitsnefndar 31. janúar 2022";"2022";"01";"Forsætisráðuneytið"
"FOR22010271";"Framsend erindi skv. 2. mgr. 7. gr. stjórnsýslulaga nr. 37/1993 og leiðbeiningarskylda 2. mgr. 14. gr. laga nr. 70/1996";"2022";"01";"Forsætisráðuneytið"
"FOR22010270";"Framsend erindi skv. 2. mgr. 7. gr. stjórnsýslulaga nr. 37/1993 og leiðbeiningarskylda 2. mgr. 14. gr. laga nr. 70/1996";"2022";"01";"Forsætisráðuneytið"
"FOR22010269";"Úttekt Transparency International - Corruption Perception Index 2021";"2022";"01";"Forsætisráðuneytið"
"FOR22010268";"Fyrirspurn til ráðuneytis varðandi stofnanir ríkisins";"2022";"01";"Forsætisráðuneytið"
"FOR22010267";"Leyfi fyrir rannsóknarborholum á Bláfjallasvæðinu";"2022";"01";"Forsætisráðuneytið"
"FOR22010266";"Aðgerðahópur um launajafnrétti og jafnrétti á vinnumarkaði";"2022";"01";"Forsætisráðuneytið"
"FOR22010265";"Ábendingar og athugasemdir til ríkisstjórnar";"2022";"01";"Forsætisráðuneytið"
"FOR22010264";"Mannauðsmál";"2022";"01";"Forsætisráðuneytið"
"FOR22010263";"Fyrirspurn til ráðuneytis varðandi kynjahlutfall æðstu stjórnenda";"2022";"01";"Forsætisráðuneytið"
"FOR22010262";"Mannauðsmál";"2022";"01";"Forsætisráðuneytið"
"FOR22010261";"Norræna ráðherranefndin um jafnréttismál";"2022";"01";"Forsætisráðuneytið"
"FOR22010260";"Langtíma þjónustusamningar við félagasamtök sem sinna mannréttindamálum";"2022";"01";"Forsætisráðuneytið"
"FOR22010259";"Ákall um sóttvarnaaðgerðir vegna næturklúbba";"2022";"01";"Forsætisráðuneytið"
"FOR22010258";"Viðtalsbeiðnir til ráðherra frá fjölmiðli";"2022";"01";"Forsætisráðuneytið"
"FOR22010257";"Tilnefning Íslands um þrjú dómarefni við Mannréttindadómstól Evrópu";"2022";"01";"Forsætisráðuneytið"
"FOR22010256";"Viðtalsbeiðnir til ráðherra";"2022";"01";"Forsætisráðuneytið"
"FOR22010255";"Framkvæmdaáætlun Norðurslóðastefnu Íslands";"2022";"01";"Forsætisráðuneytið"
"FOR22010254";"Fyrirspurn til ráðuneytis varðandi áramótaávörp forsætisráðherra";"2022";"01";"Forsætisráðuneytið"
"FOR22010253";"Viðtalsbeiðnir til ráðherra";"2022";"01";"Forsætisráðuneytið"
"FOR22010252";"Mannauðsmál";"2022";"01";"Forsætisráðuneytið"
"FOR22010251";"Styrkbeiðni";"2022";"01";"Forsætisráðuneytið"
"FOR22010250";"Mannauðsmál";"2022";"01";"Forsætisráðuneytið"
"FOR22010249";"Lóðin WC-1 við Álftavatn á Rangárvallaafrétti, gerð grunnsamkomulags";"2022";"01";"Forsætisráðuneytið"
"FOR22010248";"5. fundur ráðherranefndar um ríkisfjármál";"2022";"01";"Forsætisráðuneytið"
"FOR22010247";"Mannauðsmál";"2022";"01";"Forsætisráðuneytið"
"FOR22010246";"Lóðin S-3 við Álftavatn á Rangárvallaafrétti, gerð grunnsamkomulags";"2022";"01";"Forsætisráðuneytið"
"FOR22010245";"Mannauðsmál";"2022";"01";"Forsætisráðuneytið"
"FOR22010244";"Lóðin S-2 við Álftavatn á Rangárvallaafrétti, gerð grunnsamkomulags";"2022";"01";"Forsætisráðuneytið"
"FOR22010243";"Lóðin V-1 við Álftavatn á Rangárvallaafrétti - gerð grunnsamkomulags";"2022";"01";"Forsætisráðuneytið"
"FOR22010242";"Afskráning tveggja lóða við Hvanngil og Álftavatn";"2022";"01";"Forsætisráðuneytið"
"FOR22010241";"Fyrirspurn til ráðuneytis frá fjölmiðli";"2022";"01";"Forsætisráðuneytið"
"FOR22010240";"Beiðni um aðgang að gögnum samkvæmt upplýsingalögum";"2022";"01";"Forsætisráðuneytið"
"FOR22010239";"Fyrirspurn til ráðuneytis frá fjölmiðli";"2022";"01";"Forsætisráðuneytið"
"FOR22010238";"Fyrirspurn til ráðuneytis frá fjölmiðli";"2022";"01";"Forsætisráðuneytið"
"FOR22010237";"Ásjármál";"2022";"01";"Forsætisráðuneytið"
"FOR22010236";"Styrkbeiðni";"2022";"01";"Forsætisráðuneytið"
"FOR22010235";"Boð á ráðstefnur Skills Summit 2022 on Strengthening skills for equity and sustainability";"2022";"01";"Forsætisráðuneytið"
"FOR22010234";"Fyrirspurn til ráðuneytis varðandi málefni flóttafólks";"2022";"01";"Forsætisráðuneytið"
"FOR22010233";"Mannréttindadómstóll Evrópu, mál nr. 40600/21 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010232";"CERD, skýrsla 2018 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010231";"CCPR, skýrsla um samning Sameinuðu þjóðanna um borgarleg og stjórnmálaleg réttindi - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010230";"Samningur Sameinuðu þjóðanna um efnahagasleg félagsleg og menningarleg réttindi - CESCR - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010229";"Kærumál Mannréttindadómstóls Evrópu, mál nr. 68271/14 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010228";"4. skýrsla Íslands til CAT nefndarinnar - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010227";"Viðtalsbeiðnir til ráðherra frá fjölmiðlum";"2022";"01";"Forsætisráðuneytið"
"FOR22010226";"Mannréttindadómstóll Evrópu, mál nr. 29791/21 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010225";"Til umagnar, kæra í máli fyrir Mannréttindadómstól Evrópu - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010224";"Til umsagnar, kæra í máli fyrir Mannréttindadómstól Evrópu - flutt frá dómsmálráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010223";"Samningar Evrópuráðsins um réttindi barna - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010222";"Mannréttindaómstóll Evrópu, mál nr. 59813/19 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010221";"Mannréttindadómstóll Evrópu, mál nr. 30750/17 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010220";"Bótakrafa vegna milliliðalausrar sönnunarfærslu - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010219";"Mannréttindadómstóll Evrópu, mál nr. 12951/18 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010218";"Áskorun um löggildingu samnings Sameinuðu þjóðanna um réttindi fatlaðs fóks - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010217";"Mannréttindadómstóll Evrópu, mál nr. 27350/19 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010216";"Mannréttindadómstóll Evrópu mál nr. 22084/19 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010215";"Mannréttindadómstóll Evrópu mál nr. 703/19 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010214";"Mannréttindadómstóll Evrópu, mál nr. 36045/19 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010213";"Mannréttindadómstóll Evrópu, mál nr. 22796/19 - flutt frá dómsmálaráðueyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010212";"Mannréttindadómstóll Evrópu, mál nr. 17300/19 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010211";"Mannréttindadómstóll Evrópu, mál nr. 16152/19 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010210";"Mannréttindadómstóll Evrópu, mál nr. 14307/19 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010209";"Mannréttindadómstóll Evrópu, mál nr. 6713/19 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010208";"Mannréttindadómstóll Evrópu, mál nr. 6699/19 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010207";"Mannréttindadómstóll Evrópu, mál nr. 6696/19 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010206";"Mannréttindadómstóll Evrópu, mál nr. 6681/19 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010205";"Mannréttindadómstóll Evrópu, mál nr. 6678/19 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010204";"Mannréttindadómstóll Evrópu, mál nr. 49238/18 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010203";"Mannréttindadómstóll Evrópu, mál nr. 48798/18 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010202";"Mannréttindadómstóll Evrópu, mál nr. 48300/18 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010201";"Mannréttindadómstóll Evrópu, mál nr. 48294/18 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010200";"Mannréttindadómstóll Evrópu, mál nr. 48281/18 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010199";"Mannréttindadómstóll Evrópu, mál nr. 49446/15 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010198";"Samningsviðræður um aðild ESB að mannréttindasáttmála Evrópu - CDDH 47 + 1 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010197";"Mannréttindadómstóll Evrópu, mál nr. 59813/19 o.fl. - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010196";"Skýrsla um stöðu Íslands gagnvart Kvennasáttmála Sameinuðu þjóðanna - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010195";"Mannréttindadómstóll Evrópu, mál nr. 71552/17 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010194";"Fyrirvarar við alþjóðasamninginn um borgaraleg og stjórnmálaleg réttindi - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010193";"Niðurstaða mannréttindanefndar Sameinuðu þjóðanna í máli nr. 2818/16";"2022";"01";"Forsætisráðuneytið"
"FOR22010192";"Spurningar frá Barnaréttarnefnd Sameinuðu þjóðanna - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010191";"Stýrihópur Stjórnarráðsins um mannréttindi árið 2021 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010190";"Stýrihópur Stjórnarráðsins um mannréttindi árið 2020 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010189";"Starfshópur um sjálfstæða innlenda mannréttindastofnun - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010188";"Fullgilding samnings Sameinuðu þjóðanna um þvinguð mannshvörf - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010187";"Mannréttindadómstóll Evrópu, mál nr. 44260/17 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010186";"Mannréttindadómstóll Evrópu, mál nr. 52737/18 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010185";"Mannréttindadómstóll Evrópu, mál nr. 27768/17 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010184";"Vefsvæði um mannréttindi á vef Stjórnarráðsins - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010183";"Áskorun um að fullgilda valfrjálsa bókun við samning Sameinuðu þjóðanna um réttindi fatlaðs fólks - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010182";"UPR, reglubundin allsherjarúttekt á mannréttindamálum - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010181";"Styrktarsamningur dómsmálaráðuneytisins og Mannréttindaskrifstofu Íslands 2020 - 2024 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010180";"Mannréttindadómstóll Evrópu, mál nr. 78004/17 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010179";"Mannréttindadómstóll Evrópu, mál nr. 72098/14 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010178";"Samningur við Mannréttindastofnun Háskóla Íslands - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010177";"Þingsályktun um lögfestingu samnings Sameinuðu þjóðanna um réttindi fatlaðs fólks, þingmál 21 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010176";"Dómur Mannréttindadómstóls Evrópu í máli nr. 52623/14 - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010175";"Skýrsla Íslands um samning Sameinuðu þjóðanna um réttindi fatlaðs fólks - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010174";"Skýrsla Íslands um samning Sameinuðu þjóðanna um réttindi barnsins, barnasáttmálann - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010173";"Sjálfstæð innlend mannréttindastofnun - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010172";"Dómur í máli nr. 22007/11- flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010171";"Mannréttindasáttmáli Evrópu, fullgilding 16. viðauka - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010170";"Þingsályktun um dag helgaðan fræðslu um mannréttindi barna - flutt frá dómsmálaráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010169";"Lóðin Álftavatn (S-1) stofnun lóðar og gerð grunnsamkomulags";"2022";"01";"Forsætisráðuneytið"
"FOR22010168";"Beiðni um ávarp á Real Meetings Summit 2022";"2022";"01";"Forsætisráðuneytið"
"FOR22010167";"Boð á ráðstefnu Steering Committee for Human Rights (CDDH) ad hoc negotiation Group";"2022";"01";"Forsætisráðuneytið"
"FOR22010166";"Upplýsingar um Búrfellsnámu í Skeiða- og Gnúpverjahreppi";"2022";"01";"Forsætisráðuneytið"
"FOR22010165";"Fyrirspurn til ráðuneytis frá fjölmiðli";"2022";"01";"Forsætisráðuneytið"
"FOR22010164";"Ásjármál";"2022";"01";"Forsætisráðuneytið"
"FOR22010163";"Kort með borholur Orkustofnunar";"2022";"01";"Forsætisráðuneytið"
"FOR22010162";"Landmannahellir, stofnun lóða og grunnsamkomulag";"2022";"01";"Forsætisráðuneytið"
"FOR22010161";"Stofnun lóða í Rangárþingi ytra";"2022";"01";"Forsætisráðuneytið"
"FOR22010160";"Ásjármál";"2022";"01";"Forsætisráðuneytið"
"FOR22010159";"Fyrirspurn til ráðuneytis varðandi pólitískt og efnahagslegt ástand";"2022";"01";"Forsætisráðuneytið"
"FOR22010158";"Boð til ráðherra - sýning - Listasafn Íslands";"2022";"01";"Forsætisráðuneytið"
"FOR22010157";"Boð til ráðherra - sýning - Listasafn Íslands";"2022";"01";"Forsætisráðuneytið"
"FOR22010156";"Beiðni um ávarp á World Summit - Summit on Peace on The Korean Peninsula";"2022";"01";"Forsætisráðuneytið"
"FOR22010155";"Bolaöldur - upplýsingar um svæðið";"2022";"01";"Forsætisráðuneytið"
"FOR22010154";"Viðtalsbeiðni til ráðherra";"2022";"01";"Forsætisráðuneytið"
"FOR22010153";"Landmannalaugar, stofnun lóða og grunnsamkomulag";"2022";"01";"Forsætisráðuneytið"
"FOR22010152";"Fyrirspurn til ráðuneytis varðandi jafnréttismál";"2022";"01";"Forsætisráðuneytið"
"FOR22010151";"Viðtalsbeiðni til ráðherra varðandi efnahagsaðgerðir vegna Covid- 19";"2022";"01";"Forsætisráðuneytið"
"FOR22010150";"Beiðni um aðgang að gögnum samkvæmt upplýsingalögum";"2022";"01";"Forsætisráðuneytið"
"FOR22010149";"Boð á ráðstefnu Fifth Session of the United Nations Environmental Assembly";"2022";"01";"Forsætisráðuneytið"
"FOR22010148";"Ásjármál";"2022";"01";"Forsætisráðuneytið"
"FOR22010147";"Beiðni um ávarp á Horasis Global Meeting";"2022";"01";"Forsætisráðuneytið"
"FOR22010146";"Viðtalsbeiðni til ráðherra";"2022";"01";"Forsætisráðuneytið"
"FOR22010145";"Skýrsla samstarfsráðherra Norðurlanda um störf Norrænu ráðherranefndarinnar 2021";"2022";"01";"Forsætisráðuneytið"
"FOR22010143";"Framsend erindi skv. 2. mgr. 7. gr. stjórnsýslulaga nr. 37/1993 og leiðbeiningarskylda 2. mgr. 14. gr. laga nr. 70/1996";"2022";"01";"Forsætisráðuneytið"
"FOR22010142";"Yfirlestur á stjórnarfrumvarpi atvinnuvega- og nýsköpunarráðuneytis flutt til dómsmálaráðuneytis";"2022";"01";"Forsætisráðuneytið"
"FOR22010141";"Yfirlestur á stjórnarfrumvarpi forsætisráðuneytis flutt til dómsmálaráðuneytis";"2022";"01";"Forsætisráðuneytið"
"FOR22010140";"Styrkbeiðni";"2022";"01";"Forsætisráðuneytið"
"FOR22010139";"Fyrirspurn til ráðuneytis frá fjölmiðli";"2022";"01";"Forsætisráðuneytið"
"FOR22010138";"Fyrirspurn til ráðuneytis frá fjölmiðli";"2022";"01";"Forsætisráðuneytið"
"FOR22010137";"Fyrirspurn til ráðuneytis frá fjölmiðli";"2022";"01";"Forsætisráðuneytið"
"FOR22010136";"Boð á ráðstefnu One Ocean Summit";"2022";"01";"Forsætisráðuneytið"
"FOR22010135";"Yfirlestur þingsályktunartillögu félagsmálaráðuneytis flutt til dómsmálaráðuneytis";"2022";"01";"Forsætisráðuneytið"
"FOR22010134";"Ásjármál";"2022";"01";"Forsætisráðuneytið"
"FOR22010133";"Fyrirspurn til ráðuneytis varðandi málefni Háskóla Íslands";"2022";"01";"Forsætisráðuneytið"
"FOR22010132";"Málþing um hlutverk og verkefni ráðuneytanna í áhættuskoðun og greiningu áfallaþols";"2022";"01";"Forsætisráðuneytið"
"FOR22010131";"Mannauðsmál";"2022";"01";"Forsætisráðuneytið"
"FOR22010130";"Fundur í allsherjar- og menntamálanefnd";"2022";"01";"Forsætisráðuneytið"
"FOR22010129";"Mannauðsmál";"2022";"01";"Forsætisráðuneytið"
"FOR22010128";"Fyrirspurn um breytta skráningu kyns og/eða nafns í Þjóðskrá";"2022";"01";"Forsætisráðuneytið"
"FOR22010127";"Fyrirspurn til ráðuneytis varðandi viðtöl við fjölmiðla";"2022";"01";"Forsætisráðuneytið"
"FOR22010126";"Fundur stjórnskipunar- og eftirlitsnefndar 10. janúar 2022";"2022";"01";"Forsætisráðuneytið"
"FOR22010125";"Ábendingar og athugasemdir til ríkisstjórnar vegna Covid-19";"2022";"01";"Forsætisráðuneytið"
"FOR22010124";"Fyrirspurn varðandi opnun landamæra á Íslandi";"2022";"01";"Forsætisráðuneytið"
"FOR22010123";"Ársskýrsla Vegagerðarinnar 2020";"2022";"01";"Forsætisráðuneytið"
"FOR22010122";"Yfirlestur á stjórnarfrumvarpi fjármála- og efnahagsráðuneytis flutt til dómsmálaráðuneytis";"2022";"01";"Forsætisráðuneytið"
"FOR22010121";"Boð um þátttöku í SheDecides";"2022";"01";"Forsætisráðuneytið"
"FOR22010120";"Ásjármál";"2022";"01";"Forsætisráðuneytið"
"FOR22010119";"Mannauðsmál";"2022";"01";"Forsætisráðuneytið"
"FOR22010118";"Framsend erindi skv. 2. mgr. 7. gr. stjórnsýslulaga nr. 37/1993 og leiðbeiningarskylda 2. mgr. 14. gr. laga nr. 70/1996";"2022";"01";"Forsætisráðuneytið"
"FOR22010117";"12. fundur ráðherranefndar um samræmingu mála";"2022";"01";"Forsætisráðuneytið"
"FOR22010116";"Ásjármál";"2022";"01";"Forsætisráðuneytið"
"FOR22010115";"Yfirlestur á stjórnarfrumvarpi dómsmálaráðuneytis flutt til dómsmálaráðuneytis";"2022";"01";"Forsætisráðuneytið"
"FOR22010114";"Yfirlestur þingsályktunartillögu umhverfis- og auðlindaráðuneytis flutt til dómsmálaráðuneytis";"2022";"01";"Forsætisráðuneytið"
"FOR22010113";"Skipun jafnréttisfulltrúa í forsætisráðuneyti";"2022";"01";"Forsætisráðuneytið"
"FOR22010112";"Bréf og greinargerð um endurskoðun reglna um verðtryggingu sparifjár og lánsfjár";"2022";"01";"Forsætisráðuneytið"
"FOR22010111";"Kort með aðliggjandi jörðum að friðlýstum svæðum";"2022";"01";"Forsætisráðuneytið"
"FOR22010110";"Yfirlestur á stjórnarfrumvarpi fjármála- og efnahagsráðuneytis flutt til dómsmálaráðuneytis";"2022";"01";"Forsætisráðuneytið"
"FOR22010109";"Alþjóðlegur minningardagur helferðarinnar";"2022";"01";"Forsætisráðuneytið"
"FOR22010108";"Viðtalsbeiðni vegna rannsóknarverkefnis við Háskóla Íslands";"2022";"01";"Forsætisráðuneytið"
"FOR22010107";"Viðmiðunarlaun til greiðslu iðgjalda og lífeyris hjá B-deild LSR";"2022";"01";"Forsætisráðuneytið"
"FOR22010106";"Jafnlaunastjórnunarkerfi";"2022";"01";"Forsætisráðuneytið"
"FOR22010105";"Eftirfylgni yfirlýsinga ríkisstjórnar vegna lífskjarasamninga";"2022";"01";"Forsætisráðuneytið"
"FOR22010104";"Fyrirspurn til ráðuneytis varðandi aðgerðir og ráðstafanir í tengslum við Covid- 19";"2022";"01";"Forsætisráðuneytið"
"FOR22010103";"Yfirlestur á stjórnarfrumvarpi fjármála- og efnahagsráðuneytis flutt til dómsmálaráðuneytis";"2022";"01";"Forsætisráðuneytið"
"FOR22010102";"Styrkbeiðni";"2022";"01";"Forsætisráðuneytið"
